구분,대상,평균 코사인 유사도
클래스 내부,락앤락,0.5662
클래스 내부,생수병,0.5762
클래스 내부,원형용기,0.5538
클래스 내부,전체 평균,0.5654
클래스 간,락앤락 vs 생수병,0.4086
클래스 간,락앤락 vs 원형용기,0.4502
클래스 간,생수병 vs 원형용기,0.4136
클래스 간,전체 평균,0.4241
