timestamp,label,confidence,yolo_confidence,prompt
2026-08-25T02:43:16.971+09:00,drink_container,0.533673,0.152421,coffee mug
2026-08-25T02:43:17.670+09:00,drink_container,0.539557,0.148736,coffee mug
2026-08-25T02:43:18.499+09:00,drink_container,0.522357,0.131573,coffee mug
2026-08-25T02:43:19.880+09:00,drink_container,0.541250,0.150814,coffee mug
2026-08-25T02:43:20.618+09:00,drink_container,0.581509,0.233300,coffee mug
2026-08-25T02:43:35.883+09:00,drink_container,0.548337,0.202400,drinking cup
2026-08-25T02:43:36.757+09:00,drink_container,0.535489,0.093799,water bottle
2026-08-25T02:43:37.438+09:00,drink_container,0.547710,0.198992,drinking cup
2026-08-25T02:43:38.301+09:00,drink_container,0.539237,0.162276,drinking cup
2026-08-25T02:43:39.073+09:00,drink_container,0.530104,0.239696,drinking cup
2026-08-25T02:43:41.024+09:00,drink_container,0.526747,0.049342,drinking cup
2026-08-25T02:43:41.963+09:00,drink_container,0.540630,0.469407,coffee mug
2026-08-25T02:43:43.035+09:00,drink_container,0.554842,0.429157,coffee mug
2026-08-25T02:43:44.210+09:00,drink_container,0.531972,0.730775,travel mug
2026-08-25T02:43:44.987+09:00,drink_container,0.545926,0.578418,travel mug
2026-08-25T02:43:45.768+09:00,drink_container,0.544016,0.048589,drinking cup
2026-08-25T02:43:46.492+09:00,drink_container,0.568111,0.208871,coffee mug
2026-08-25T02:43:47.399+09:00,drink_container,0.562143,0.400230,travel mug
2026-08-25T02:43:48.202+09:00,drink_container,0.580591,0.227930,coffee mug
2026-08-25T02:43:48.975+09:00,drink_container,0.561816,0.685960,travel mug
2026-08-25T02:43:49.706+09:00,drink_container,0.535042,0.183388,water bottle
2026-08-25T02:43:50.558+09:00,drink_container,0.524453,0.197050,coffee mug
2026-08-25T02:43:51.339+09:00,drink_container,0.556616,0.359417,travel mug
2026-08-25T02:44:07.310+09:00,drink_container,0.576885,0.242817,water bottle
2026-08-25T02:44:08.152+09:00,drink_container,0.585273,0.135747,water bottle
2026-08-25T02:44:08.939+09:00,drink_container,0.578561,0.034545,water bottle
2026-08-25T02:44:09.795+09:00,drink_container,0.593720,0.045171,water bottle
2026-08-25T02:44:10.570+09:00,drink_container,0.538443,0.195825,coffee mug
2026-08-25T02:44:22.426+09:00,drink_container,0.532089,0.105412,coffee mug
2026-08-25T02:44:23.117+09:00,drink_container,0.557066,0.339213,coffee mug
2026-08-25T02:44:23.966+09:00,drink_container,0.538876,0.132987,drinking cup
2026-08-25T02:44:24.811+09:00,drink_container,0.527522,0.101706,coffee mug
2026-08-25T02:44:25.502+09:00,drink_container,0.549667,0.058502,coffee mug
2026-08-25T02:44:26.415+09:00,food_container,0.544811,0.035966,coffee mug
2026-08-25T02:44:27.199+09:00,drink_container,0.522182,0.022042,plastic box
2026-08-25T02:44:27.881+09:00,food_container,0.577078,0.157827,plastic box
2026-08-25T02:44:28.734+09:00,food_container,0.616840,0.115495,plastic box
2026-08-25T02:44:29.597+09:00,food_container,0.617598,0.095690,plastic box
2026-08-25T02:44:30.303+09:00,food_container,0.621049,0.105475,plastic box
2026-08-25T19:51:32.765+09:00,drink_container,0.430582,0.835746,coffee mug
2026-08-25T19:51:33.388+09:00,drink_container,0.399013,0.829994,coffee mug
2026-08-25T19:51:33.983+09:00,drink_container,0.405915,0.904005,coffee mug
2026-08-25T19:51:34.825+09:00,drink_container,0.393487,0.911357,coffee mug
2026-08-25T19:51:35.704+09:00,drink_container,0.403568,0.901246,coffee mug
2026-08-25T19:51:36.585+09:00,drink_container,0.452318,0.496683,drinking cup
2026-08-25T19:51:37.250+09:00,drink_container,0.452782,0.827388,drinking cup
2026-08-25T19:51:37.954+09:00,drink_container,0.445750,0.796470,drinking cup
2026-08-25T19:51:38.852+09:00,drink_container,0.441573,0.551751,drinking cup
2026-08-25T19:51:39.773+09:00,drink_container,0.430866,0.760686,drinking cup
2026-08-25T19:51:40.546+09:00,drink_container,0.450159,0.544882,drinking cup
2026-08-25T19:51:41.452+09:00,drink_container,0.441150,0.600196,drinking cup
2026-08-25T19:51:42.357+09:00,drink_container,0.441378,0.665412,coffee mug
2026-08-25T19:51:43.157+09:00,drink_container,0.453993,0.649497,drinking cup
2026-08-25T19:51:45.088+09:00,drink_container,0.377506,0.035226,plastic box
2026-08-25T19:51:45.910+09:00,drink_container,0.386942,0.039558,plastic box
2026-08-25T19:51:49.011+09:00,drink_container,0.381269,0.045612,coffee mug
2026-08-25T19:51:53.507+09:00,drink_container,0.388944,0.302966,travel mug
2026-08-25T19:52:02.843+09:00,food_container,0.358879,0.032174,plastic box
2026-08-25T19:52:03.681+09:00,food_container,0.367763,0.027131,plastic box
2026-08-25T19:52:09.535+09:00,drink_container,0.428855,0.342839,drinking cup
2026-08-25T19:52:10.226+09:00,drink_container,0.434194,0.401672,drinking cup
2026-08-25T19:52:11.209+09:00,drink_container,0.421461,0.621980,drinking cup
2026-08-25T19:52:12.126+09:00,drink_container,0.435641,0.472465,drinking cup
2026-08-25T19:52:12.839+09:00,drink_container,0.419583,0.341496,drinking cup
2026-08-25T19:52:13.524+09:00,drink_container,0.419347,0.285408,coffee mug
2026-08-25T19:52:14.404+09:00,drink_container,0.421993,0.129135,coffee mug
2026-08-25T19:52:15.150+09:00,drink_container,0.412909,0.298934,coffee mug
2026-08-25T19:52:16.039+09:00,drink_container,0.410875,0.340476,drinking cup
2026-08-25T19:52:16.743+09:00,drink_container,0.432706,0.467252,drinking cup
2026-08-25T19:52:17.665+09:00,drink_container,0.444396,0.569044,drinking cup
2026-08-25T19:52:18.458+09:00,drink_container,0.440093,0.591558,drinking cup
2026-08-25T19:52:19.298+09:00,drink_container,0.434785,0.633555,drinking cup
2026-08-25T19:52:20.017+09:00,drink_container,0.439828,0.558569,drinking cup
2026-08-25T19:52:20.902+09:00,drink_container,0.423784,0.503492,drinking cup
2026-08-25T19:52:21.730+09:00,drink_container,0.390261,0.287802,drinking cup
2026-08-25T19:52:22.669+09:00,food_container,0.375159,0.098779,coffee mug
2026-08-25T19:52:23.617+09:00,food_container,0.367511,0.078706,coffee mug
2026-08-25T19:52:24.532+09:00,food_container,0.367530,0.079096,coffee mug
2026-08-25T19:52:25.295+09:00,water_bottle,0.368036,0.045183,plastic box
2026-08-25T19:52:26.026+09:00,food_container,0.374179,0.094916,coffee mug
2026-08-25T19:52:26.994+09:00,drink_container,0.398338,0.383876,coffee mug
2026-08-25T19:52:34.345+09:00,food_container,0.350528,0.157663,coffee mug
2026-08-25T19:52:35.101+09:00,food_container,0.365289,0.149766,drinking cup
2026-08-25T19:52:36.355+09:00,drink_container,0.367963,0.216862,drinking cup
2026-08-25T19:52:39.902+09:00,drink_container,0.486483,0.577640,coffee mug
2026-08-25T19:52:40.774+09:00,drink_container,0.368943,0.153670,coffee mug
2026-08-25T19:52:41.626+09:00,drink_container,0.362618,0.020217,plastic box
2026-08-25T19:52:42.713+09:00,drink_container,0.444774,0.840297,coffee mug
2026-08-25T19:52:43.763+09:00,drink_container,0.443553,0.825723,coffee mug
2026-08-25T19:52:44.737+09:00,drink_container,0.450516,0.798194,coffee mug
2026-08-25T19:52:45.756+09:00,drink_container,0.456418,0.694487,coffee mug
2026-08-25T19:52:47.395+09:00,water_bottle,0.354554,0.033867,plastic box
