timestamp,object_index,object_count,label,confidence,yolo_confidence,prompt
2026-08-25T20:23:34.889+09:00,1,4,drink_container,0.440876,0.503570,coffee mug
2026-08-25T20:23:34.889+09:00,2,4,drink_container,0.405594,0.032547,coffee mug
2026-08-25T20:23:34.889+09:00,3,4,drink_container,0.377919,0.030395,drinking cup
2026-08-25T20:23:34.889+09:00,4,4,food_container,0.370200,0.029424,drinking cup
2026-08-25T20:23:36.003+09:00,1,5,drink_container,0.439072,0.889610,coffee mug
2026-08-25T20:23:36.003+09:00,2,5,food_container,0.360197,0.299086,drinking cup
2026-08-25T20:23:36.003+09:00,3,5,food_container,0.372594,0.160554,drinking cup
2026-08-25T20:23:36.003+09:00,4,5,drink_container,0.379921,0.028329,drinking cup
2026-08-25T20:23:36.003+09:00,5,5,food_container,0.373360,0.020034,coffee mug
2026-08-25T20:23:37.164+09:00,1,4,drink_container,0.426773,0.759093,coffee mug
2026-08-25T20:23:37.164+09:00,2,4,food_container,0.372774,0.283607,drinking cup
2026-08-25T20:23:37.164+09:00,3,4,drink_container,0.380862,0.056695,drinking cup
2026-08-25T20:23:37.164+09:00,4,4,drink_container,0.367336,0.028554,drinking cup
2026-08-25T20:23:38.229+09:00,1,3,drink_container,0.407335,0.707368,coffee mug
2026-08-25T20:23:38.229+09:00,2,3,drink_container,0.356335,0.144482,drinking cup
2026-08-25T20:23:38.229+09:00,3,3,drink_container,0.365628,0.108425,coffee mug
2026-08-25T20:23:39.107+09:00,1,3,drink_container,0.396857,0.417132,coffee mug
2026-08-25T20:23:39.107+09:00,2,3,drink_container,0.410150,0.098218,drinking cup
2026-08-25T20:23:39.107+09:00,3,3,food_container,0.384337,0.069240,drinking cup
2026-08-25T20:23:40.198+09:00,1,4,drink_container,0.393550,0.711356,coffee mug
2026-08-25T20:23:40.198+09:00,2,4,food_container,0.355475,0.106767,coffee mug
2026-08-25T20:23:40.198+09:00,3,4,drink_container,0.403748,0.042523,drinking cup
2026-08-25T20:23:40.198+09:00,4,4,food_container,0.407333,0.033429,coffee mug
2026-08-25T20:23:41.304+09:00,1,4,drink_container,0.433657,0.771675,coffee mug
2026-08-25T20:23:41.304+09:00,2,4,food_container,0.368669,0.154473,coffee mug
2026-08-25T20:23:41.304+09:00,3,4,food_container,0.406640,0.083077,drinking cup
2026-08-25T20:23:41.304+09:00,4,4,drink_container,0.404765,0.020304,drinking cup
2026-08-25T20:23:42.163+09:00,1,2,drink_container,0.401299,0.119715,coffee mug
2026-08-25T20:23:42.163+09:00,2,2,drink_container,0.373909,0.022682,drinking cup
2026-08-25T20:23:43.121+09:00,1,3,drink_container,0.437869,0.871112,coffee mug
2026-08-25T20:23:43.121+09:00,2,3,food_container,0.369463,0.187723,drinking cup
2026-08-25T20:23:43.121+09:00,3,3,drink_container,0.411681,0.087071,drinking cup
2026-08-25T20:23:44.374+09:00,1,4,drink_container,0.424258,0.856600,coffee mug
2026-08-25T20:23:44.374+09:00,2,4,food_container,0.400112,0.287582,coffee mug
2026-08-25T20:23:44.374+09:00,3,4,drink_container,0.414772,0.067303,drinking cup
2026-08-25T20:23:44.374+09:00,4,4,food_container,0.367900,0.036466,coffee mug
2026-08-25T20:23:45.533+09:00,1,4,drink_container,0.439250,0.744990,coffee mug
2026-08-25T20:23:45.533+09:00,2,4,food_container,0.380400,0.307328,coffee mug
2026-08-25T20:23:45.533+09:00,3,4,drink_container,0.424627,0.035858,drinking cup
2026-08-25T20:23:45.533+09:00,4,4,food_container,0.380214,0.024992,coffee mug
2026-08-25T20:23:46.659+09:00,1,4,drink_container,0.436598,0.811885,coffee mug
2026-08-25T20:23:46.659+09:00,2,4,food_container,0.375666,0.206395,drinking cup
2026-08-25T20:23:46.659+09:00,3,4,food_container,0.384013,0.049292,coffee mug
2026-08-25T20:23:46.659+09:00,4,4,drink_container,0.412932,0.035284,drinking cup
