timestamp,event,container_id,similarity,detection_confidence,detail
2026-08-21T22:36:16.456+09:00,matched,Container_001,0.744720,0.025160,dino=0.6700466871261597 color=0.8193936347961426
2026-08-21T22:36:17.011+09:00,no_detection,,,,
2026-08-21T22:36:17.639+09:00,no_detection,,,,
2026-08-21T22:36:18.291+09:00,no_detection,,,,
2026-08-21T22:36:18.842+09:00,no_detection,,,,
2026-08-21T22:36:19.704+09:00,no_detection,,,,
2026-08-21T22:36:20.417+09:00,no_detection,,,,
2026-08-21T22:36:21.097+09:00,no_detection,,,,
2026-08-21T22:36:21.678+09:00,no_detection,,,,
2026-08-21T22:36:22.616+09:00,matched,Container_001,0.632371,0.061604,dino=0.41646095116933185 color=0.8482808669408163
2026-08-21T22:36:23.802+09:00,matched,Container_001,0.895453,0.045537,dino=0.8555755217870077 color=0.9353309869766235
2026-08-21T22:36:24.852+09:00,matched,Container_001,0.884836,0.044730,dino=0.839754323164622 color=0.9299171765645345
2026-08-21T22:36:26.001+09:00,matched,Container_001,0.846567,0.053017,dino=0.7798673907915751 color=0.9132659832636515
2026-08-21T22:36:27.022+09:00,matched,Container_001,0.660493,0.021585,dino=0.49003557364145917 color=0.830950915813446
2026-08-21T22:36:27.649+09:00,no_detection,,,,
2026-08-21T22:36:28.200+09:00,no_detection,,,,
2026-08-21T22:36:28.772+09:00,no_detection,,,,
2026-08-21T22:36:29.334+09:00,no_detection,,,,
2026-08-21T22:36:30.016+09:00,no_detection,,,,
2026-08-21T22:36:30.566+09:00,no_detection,,,,
2026-08-21T22:36:31.092+09:00,no_detection,,,,
2026-08-21T22:36:31.883+09:00,matched,Container_002,0.871318,0.098685,dino=0.8331440687179565 color=0.9094915787378947
2026-08-21T22:36:32.600+09:00,no_detection,,,,
2026-08-21T22:36:33.626+09:00,matched,Container_002,0.896886,0.021022,dino=0.869272510210673 color=0.9244998892148336
2026-08-21T22:36:34.627+09:00,matched,Container_002,0.890712,0.038430,dino=0.8631239136060079 color=0.9183006286621094
2026-08-21T22:36:35.608+09:00,matched,Container_002,0.886819,0.046327,dino=0.8586116234461466 color=0.9150268236796061
2026-08-21T22:36:36.448+09:00,no_detection,,,,
2026-08-21T22:36:37.332+09:00,matched,Container_002,0.740409,0.084788,dino=0.6416634718577067 color=0.8391554355621338
2026-08-21T22:36:38.285+09:00,matched,Container_002,0.812213,0.347848,dino=0.7411138415336609 color=0.8833124041557312
2026-08-21T22:36:38.930+09:00,no_detection,,,,
2026-08-21T22:36:39.974+09:00,unknown,,0.504542,0.190194,dino=0.45484169324239093 color=0.5542420546213785
2026-08-21T22:36:40.661+09:00,no_detection,,,,
2026-08-21T22:36:41.265+09:00,no_detection,,,,
2026-08-21T22:36:41.798+09:00,no_detection,,,,
2026-08-21T22:36:42.423+09:00,no_detection,,,,
2026-08-21T22:36:42.944+09:00,no_detection,,,,
2026-08-21T22:36:43.616+09:00,no_detection,,,,
2026-08-21T22:36:44.236+09:00,no_detection,,,,
2026-08-21T22:36:44.899+09:00,no_detection,,,,
2026-08-21T22:36:45.629+09:00,no_detection,,,,
2026-08-21T22:36:46.271+09:00,no_detection,,,,
