구성,클래스,클래스 내부 평균,클래스 간 평균(해당 클래스 관여)
원본×DINOv2,락앤락,0.5026,
원본×DINOv2,생수병,0.6222,
원본×DINOv2,원형용기,0.4887,
원본×DINOv2,전체 평균,0.5378,0.3332
크롭×DINOv2,락앤락,0.4589,
크롭×DINOv2,생수병,0.5402,
크롭×DINOv2,원형용기,0.4567,
크롭×DINOv2,전체 평균,0.4853,0.2864

구성,클래스 내부 평균,클래스 간 평균,차이(구분력)
원본×DINOv2,0.5378,0.3332,+0.2047
크롭×DINOv2,0.4853,0.2864,+0.1989
